question_id,user_input,response,reference,retrieved_contexts,reference_contexts,retrieved_contexts_count,reference_contexts_count,retrieved_context_ids,reference_context_ids,errors,context_precision,context_recall,response_relevancy,faithfulness,answer_accuracy,context_relevance,response_groundedness,semantic_similarity,bleu_score,rouge1,rougeL
Q_001,What does the policy mean by an accident?,"An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means. Accidental bodily injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means, verified and certified by a Medical Practitioner.","An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.","[""An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means."", ""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]","[""An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.""]",2,1,"[""BAJHLIP23020V012223.pdf_2"", ""BAJHLIP23020V012223.pdf_25""]","[""BAJHLIP23020V012223.pdf_2""]",,0.99999999995,1.0,0.7184409764754761,0.8333333333333334,1.0,1.0,1.0,0.868029938627508,0.9428731438548752,0.5,0.5
Q_002,What is considered “any one illness” under this policy?,"Any one Illness means continuous period of illness and it includes relapse within 45 days from the date of last consultation with the hospital/nursing home where treatment was taken. Expenses related to the treatment of any illness within 30 days from the first policy commencement date shall be excluded except claims arising due to an accident, provided the same are covered. This exclusion shall not apply if the insured has continuous coverage for more than twelve months.",Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken.,"[""Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken."", ""a. Expenses related to the treatment of any Illness within 30 days from the first Policy commencement date shall be excluded except claims arising due to an Accident, provided the same are covered. b. This exclusion shall not, however apply if the Insured has Continuous Coverage for more than twelve months. c. The within referred waiting period is made applicable to the enhanced Sum Insured in the event of granting higher Sum Insured subsequently."", ""a. Expenses related to the treatment of any Illness within 30 days from the first Policy commencement date shall be excluded except claims arising due to an Accident, provided the same are covered. b. This exclusion shall not, however apply if the Insured has Continuous Coverage for more than twelve months. c. The within referred waiting period is made applicable to the enhanced Sum Insured in the event of granting higher Sum Insured subsequently.""]","[""Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken.""]",3,1,"[""BAJHLIP23020V012223.pdf_3"", ""BAJHLIP23020V012223.pdf_216"", ""BAJHLIP23020V012223.pdf_258""]","[""BAJHLIP23020V012223.pdf_3""]",,0.9999999999666667,1.0,0.8360961592534487,1.0,0.5,1.0,1.0,0.8178284259175135,0.6436056646422386,0.5555555555555556,0.5555555555555556
Q_003,What is a cashless facility in this insurance policy?,"The cashless hospitalization facility operates by the insurer paying the network provider directly for treatment costs if pre-authorization is approved. For planned treatment, you must intimate the insurer 48 hours before hospitalization and request pre-authorization via a written form. After approval, an authorization letter must be produced to the network hospital at admission. Cashless treatment is only available at network hospitals. Pre-authorization does not guarantee full coverage of all costs.",Cashless Facility means a facility extended by the Insurer to the Insured where the payments of the costs of treatment undergone by the Insured are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved.,"[""Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved."", ""i. For planned treatment or Hospitalization, prior to taking treatment and/or incurring Medical Expenses at a Network Hospital, You or Your representative must intimate Us 48 hours before the planned Hospitalization and request pre-authorisation by way of the written form. ii. After considering Your request and after obtaining any further information or documentation We have sought, We may, if satisfied, send You or the Network Hospital, an authorisation letter. The authorisation letter, the ID card issued to You along with this Policy and any other information or documentation that We have specified must be produced to the Network Hospital identified in the pre-authorization letter at the time of Your admission to the same. iii. If the procedure above is followed, You will not be required to directly pay for the bill amount in the Network Hospital that We are liable under Section AI-Inpatient Hospitalization Treatment above and the original bills and evidence of treatment in respect of the same shall be left with the Network Hospital. Pre-authorisation does not guarantee that all costs and expenses will be covered."", ""A. Cashless Claims Procedure: Cashless treatment is only available at Network Hospitals. In order to avail of cashless treatment, the following"", ""Network Provider means Hospitals or health care providers enlisted by an insurer, TPA or jointly by an Insurer and TPA to provide medical services to an Insured by a Cashless Facility.""]","[""Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved.""]",4,1,"[""BAJHLIP23020V012223.pdf_8"", ""BAJHLIP23020V012223.pdf_368"", ""BAJHLIP23020V012223.pdf_367"", ""BAJHLIP23020V012223.pdf_37""]","[""BAJHLIP23020V012223.pdf_8""]",,0.9166666666361111,1.0,0.710680203838994,1.0,0.5,1.0,1.0,0.7259345195729077,0.03729386144512557,0.38596491228070173,0.26315789473684204
Q_004,What does co-payment mean in this health insurance policy?,"A Co-Payment means a cost-sharing requirement where the Policyholder/Insured bears a specified percentage of the admissible claim amount. For Dental Plan Benefits (Optional), the mandatory Co-Payment is 20% on each and every claim. For other claims under Section C Part B III, the Policyholder bears 20% of the Co-Payment.",A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount and it does not reduce the Sum Insured.,"[""A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured."", ""a. You shall bear 20% of Co-Payment for each and every claim payable under Section C Part B III- Dental Plan Benefits (Optional cover) and Our liability, if any, shall only be in excess of that sum. b. If opted, an aggregate Deductible as specified in the Policy Schedule will apply for expenses under Inpatient"", ""III. DENTAL PLAN BENEFITS (Optional) In consideration of payment of additional premium by the Insured to the Company and realization thereof by the Company, it is hereby agreed and declared that Global Health Care Policy is extended to pay the expenses incurred for the below mentioned Dental related covers with a mandatory Co-Payment of 20% on each and every claim, subject to terms, conditions and definitions, exclusions, up to the limit specified in the Policy Schedule.""]","[""A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured.""]",3,1,"[""BAJHLIP23020V012223.pdf_11"", ""BAJHLIP23020V012223.pdf_347"", ""BAJHLIP23020V012223.pdf_181""]","[""BAJHLIP23020V012223.pdf_11""]",,0.9999999999666667,1.0,0.753615468042273,1.0,0.5,1.0,1.0,0.8043275941645963,0.3024616482669118,0.5054945054945055,0.4835164835164836
Q_005,What is the definition of congenital anomaly in this policy?,"Congital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. Internal Congenital Anomaly refers to a Congenital Anomaly which is not in the visible and accessible parts of the body. External Congenital Anomaly refers to a Congenital Anomaly which is in the visible and accessible parts of the body.","Congenital Anomaly means a condition which is present since birth and is abnormal with reference to form, structure or position. It may be internal (not visible or accessible parts of the body) or external (visible and accessible parts of the body).","[""Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body""]","[""Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body""]",1,1,"[""BAJHLIP23020V012223.pdf_10""]","[""BAJHLIP23020V012223.pdf_10""]",,0.9999999999,1.0,0.5664030852547882,1.0,0.75,1.0,1.0,0.935706174165952,0.7473575569817642,0.712871287128713,0.6930693069306931
Q_006,What qualifies as a day care centre according to the policy?,"A Day Care Centre is any institution established for Day Care Treatment of Illness and/or injuries or a medical setup with a Hospital that has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner. It must comply with the following minimum criteria:
i. has qualified nursing staff under its employment
ii. has qualified Medical Practitioner(s) in charge
iii. has a fully equipped operation theatre of its own where surgical procedures are carried out
iv. maintains daily records of patients and will make these accessible to the Insurance Company’s authorized personnel.","A Day Care Centre means an institution established for Day Care Treatment of illness or injuries or a medical set-up with a hospital which is registered with local authorities, under supervision of a qualified Medical Practitioner, has qualified nursing staff, its own fully equipped operation theatre for surgical procedures and maintains daily patient records accessible to the insurer’s authorized personnel.","[""A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment ii. has qualified Medical Practitioner (s) in charge iii. has a fully equipped operation theatre of its own where surgical procedures are carried out iv. maintains daily records of patients and will make these accessible to the Insurance Company\u2019s authorized personnel."", ""i. undertaken under General or Local Anesthesia in a Hospital/Day Care Centre in less than 24 hrs because of technological advancement, and ii. Which would have otherwise required a Hospitalization of more than 24 hours. Treatment normally taken on an out-patient basis is not included in the scope of this definition."", ""A Hospital means any institution established for Inpatient care and Day Care Treatment of Illness and/or injuries and which has been registered as a Hospital with the local authorities under the Clinical Establishments (Registration and Regulation) Act, 2010 OR under the enactments specified under the Schedule of Section 56(1)""]","[""A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment ii. has qualified Medical Practitioner (s) in charge iii. has a fully equipped operation theatre of its own where surgical procedures are carried out iv. maintains daily records of patients and will make these accessible to the Insurance Company\u2019s authorized personnel.""]",3,1,"[""BAJHLIP23020V012223.pdf_13"", ""BAJHLIP23020V012223.pdf_14"", ""BAJHLIP23020V012223.pdf_20""]","[""BAJHLIP23020V012223.pdf_13""]",,0.99999999995,1.0,0.7765920562723618,1.0,1.0,1.0,1.0,0.9533525724665182,0.26414050235500736,0.6787878787878788,0.6303030303030304
Q_007,How does the policy define emergency care?,"For emergency medical treatment coverage, the policy requires:
1. The emergency condition must be certified as life-threatening by a Medical Practitioner.
2. The claim must be accepted under ""In-patient Hospitalization Treatment"" or ""Day Care Procedures.""
3. You or someone on your behalf must inform the insurer in writing within 48 hours of hospitalization.
4. Treatment by a Doctor must start within 24 hours of the emergency event (for coverage outside the area of cover).
5. If treatment is medically unnecessary, the claim may be declined. If medically necessary, coverage is up to 80% of the reasonable and customary expenses, subject to policy terms.
6. Pre-approval is required for planned treatments at least 72 hours prior to admission.",Emergency care means management for an illness or injury with symptoms that occur suddenly and unexpectedly and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the insured person’s health.,"[""Follow the steps below so We can look after the details \u2013 while You concentrate on getting better. Check Your level of cover First, check that Your plan covers the treatment You are seeking. Your Table of Benefits will confirm what is covered. However, You can always call Our Helpline if You have any queries. 24/7 International Helpline number +353 1 630 1301 Some treatments require Our pre-approval Certain benefits under this policy for International Cover would require You to seek pre-approval at least 72 hours prior to admission or availing the benefit in case of planned treatments. The pre-approval process helps Us assess each case, organize everything with the Hospital before Your arrival and make direct payment of Your Hospital bill easier, where possible. If You make a claim without obtaining Our pre-approval the following will apply: i. If the treatment received is subsequently proven to be medically unnecessary, We reserve the right to decline Your claim in accordance with the policy terms and conditions ii. If the treatment is subsequently proven to be medically necessary, we will process the claim basis on reasonable and customary expenses up to 80% of the coverage, subject to the policy terms and conditions."", ""i. Such life threatening Emergency condition is certified by the Medical Practitioner, and ii. We have accepted Your Claim under \""In-patient Hospitalization Treatment\"" or \""Day Care Procedures\"""", ""You or someone claiming on Your behalf must inform Us in writing immediately within 48 hours of Hospitalization in case of Emergency Hospitalization and 48 hours prior to Hospitalization in case of planned Hospitalization ii. You must immediately consult a Medical Practitioner and follow the advice and treatment that he recommends. iii. You must take reasonable steps or measures to minimize the quantum of any claim that may be made under this"", ""12. Emergency treatment outside area of cover (Applicable to Imperial Plus Plan only if \u201cExcluding USA\u201d cover is opted) We will pay the Customary and Reasonable expenses, up to the limit specified in the Policy Schedule, incurred for treatment of medical emergencies which occur during business or holiday trips outside Your area of cover. Cover is provided for up to six weeks per trip within the Sum Insured limit. It includes treatment required due to an Accident or the sudden beginning or worsening of a severe Illness which presents an immediate threat to Your health. Treatment by a Doctor must start within 24 hours of the Emergency event.""]","[""Emergency care means management for an Illness or Injury which results in symptoms which occur suddenly and unexpectedly, and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the Insured person\u2019s health.""]",4,1,"[""BAJHLIP23020V012223.pdf_381"", ""BAJHLIP23020V012223.pdf_143"", ""BAJHLIP23020V012223.pdf_370"", ""BAJHLIP23020V012223.pdf_160""]","[""BAJHLIP23020V012223.pdf_18""]",,0.249999999975,0.0,0.7325607064119257,1.0,0.0,1.0,1.0,0.6204749503754169,0.003828561815320644,0.20253164556962025,0.1139240506329114
Q_008,What is hospitalization according to the policy terms?,"Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/treatments, where such admission could be for a period of less than 24 consecutive hours.",Hospitalization means admission in a Hospital for a minimum period of 24 consecutive in-patient care hours except for specified procedures or treatments where admission could be for less than 24 consecutive hours.,"[""Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours."", ""Inpatient care means treatment for which the Insured has to stay in a Hospital for more than 24 hours for a covered event.""]","[""Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours.""]",2,1,"[""BAJHLIP23020V012223.pdf_22"", ""BAJHLIP23020V012223.pdf_26""]","[""BAJHLIP23020V012223.pdf_22""]",,0.9999999999,1.0,0.781894467648221,1.0,1.0,1.0,1.0,0.9906357268132209,0.6005257748142278,0.927536231884058,0.927536231884058
Q_009,How does the policy define an injury?,"Injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.","Injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]",1,1,"[""BAJHLIP23020V012223.pdf_25""]","[""BAJHLIP23020V012223.pdf_25""]",,0.9999999999,1.0,0.6939175479337146,1.0,1.0,1.0,1.0,0.9999999999999997,1.0000000000000004,1.0,1.0
Q_010,What is meant by a new born baby under this policy?,A newborn child is eligible for coverage under the dependent child addition provision if the baby is born during the Policy Period and is aged up to 90 days.,New Born Baby means a baby born during the Policy Period and aged up to 90 days.,"[""New Born Baby means baby born during the Policy Period and is aged up to 90 days."", ""a. Expenses related to the treatment of any Illness within 30 days from the first Policy commencement date shall be excluded except claims arising due to an Accident, provided the same are covered. b. This exclusion shall not, however apply if the Insured has Continuous Coverage for more than twelve months. c. The within referred waiting period is made applicable to the enhanced Sum Insured in the event of granting higher Sum Insured subsequently.""]","[""New Born Baby means baby born during the Policy Period and is aged up to 90 days.""]",2,1,"[""BAJHLIP23020V012223.pdf_38"", ""BAJHLIP23020V012223.pdf_216""]","[""BAJHLIP23020V012223.pdf_38""]",,0.9999999999,1.0,0.505593503776701,0.6666666666666666,1.0,1.0,1.0,0.7621109913238862,0.3120943348400658,0.5652173913043479,0.5652173913043479
